time,yaw_degrees
1879.17,-1.54266e-06
1879.17,-1.54414e-06
1879.17,-1.54563e-06
1879.18,-1.54711e-06
1879.18,-1.5486e-06
1879.18,-1.55008e-06
1879.18,-1.55602e-06
1879.18,-1.55751e-06
1879.18,-1.56048e-06
1879.18,-1.56196e-06
1879.18,-1.56345e-06
1879.18,-1.56493e-06
1879.18,-1.56642e-06
1879.19,-1.5679e-06
1879.19,-1.56939e-06
1879.19,-1.57087e-06
1879.19,-1.57236e-06
1879.19,-1.57384e-06
1879.19,-1.57533e-06
1879.19,-1.57681e-06
1879.19,-1.5783e-06
1879.19,-1.57978e-06
1879.19,-1.58127e-06
1879.2,-1.58275e-06
1879.2,-1.58424e-06
1879.2,-1.58572e-06
1879.2,-1.58721e-06
1879.2,-1.58869e-06
1879.2,-1.59018e-06
1879.2,-1.59166e-06
1879.2,-1.59315e-06
1879.2,-1.59463e-06
1879.2,-1.59611e-06
1879.2,-1.5976e-06
1879.21,-1.59908e-06
1879.21,-1.60057e-06
1879.21,-1.60205e-06
1879.21,-1.60354e-06
